Date,Open,High,Low,Close,Adj Close,Volume
10/29/20,74.774002,76.095001,74.294998,75.32,72.155762,601800
10/30/20,75.019997,75.265999,73.565002,74.43,71.303146,661700
11/2/20,75.220001,75.779999,74.601997,75.269997,72.107849,662000
11/3/20,76.110001,77.129997,75.978996,76.639999,73.420288,667200
11/4/20,77.790001,79.330002,77.550003,78.32,75.029724,504500
11/5/20,79.739998,80.389,79.559998,79.970001,76.610413,1129500
11/6/20,80.050003,80.300003,79.43,80.059998,76.696625,615800
11/9/20,83.139999,83.139999,80.790001,80.879997,77.482185,715100
11/10/20,80.760002,80.860001,79.824997,80.68,77.290573,664300
11/11/20,81.230003,81.470001,80.910004,81.32,77.903694,647900
11/12/20,81.099998,81.260002,80.105003,80.580002,77.194778,581300
11/13/20,81.089996,81.790001,80.910004,81.639999,78.210251,492500
11/16/20,82.400002,82.620003,81.947998,82.620003,79.149078,648200
11/17/20,82.25,82.580002,81.809998,82.309998,78.852089,818200
11/18/20,82.260002,82.559998,81.459999,81.459999,78.037796,653400
11/19/20,81.370003,81.949997,81,81.900002,78.459312,774100
11/20/20,81.900002,81.910004,81.349998,81.379997,77.961166,583500
11/23/20,82.019997,82.190002,81.349998,81.940002,78.49765,459300
11/24/20,82.57,83.309998,82.309998,83.220001,79.723862,631800
11/25/20,83.269997,83.301003,82.849998,83.209999,79.714279,574900
11/27/20,83.540001,83.638,83.309998,83.57,80.059166,311600
11/30/20,83.449997,83.488998,82.470001,83.160004,79.666405,464700
12/1/20,84.059998,84.334999,83.809998,83.980003,80.451935,525900
12/2/20,83.709999,84.110001,83.449997,84.089996,80.557304,590400
12/3/20,84.18,84.449997,83.870003,84.07,80.538155,500700
12/4/20,84.260002,84.860001,84.260002,84.860001,81.294968,476900
12/7/20,84.709999,84.860001,84.449997,84.779999,81.218338,547500
12/8/20,84.440002,85.190002,84.440002,85.080002,81.505737,479800
12/9/20,85.279999,85.279999,83.910004,84.190002,80.653107,602700
12/10/20,83.809998,84.440002,83.487,84.239998,80.701019,810100
12/11/20,84,84.220001,83.410004,84.110001,80.576469,751900
12/14/20,84.449997,84.650002,83.525002,83.57,80.338074,672700
12/15/20,84.190002,84.650002,83.830002,84.650002,81.376305,614500
12/16/20,84.769997,84.980003,84.470001,84.739998,81.462807,826700
12/17/20,85.269997,85.410004,85.089996,85.410004,82.106918,568400
12/18/20,85.610001,85.610001,84.57,85.160004,81.866577,486800
12/21/20,84.309998,85.065002,83.519997,84.879997,81.597404,854800
12/22/20,84.910004,85.050003,84.495003,84.839996,81.55896,661400
12/23/20,84.849998,85.290001,84.82,84.839996,81.55896,631300
12/24/20,85,85.169998,84.772003,85.169998,81.87619,352200
12/28/20,85.809998,85.809998,85.5,85.709999,82.395309,530400
12/29/20,86.040001,86.138,85.349998,85.519997,82.212662,645300
12/30/20,85.769997,85.919998,85.550003,85.650002,82.337624,612700
12/31/20,85.68,86.160004,85.466003,86.029999,82.702934,528600
1/4/21,86.419998,86.419998,83.949997,84.889999,81.607025,878200
1/5/21,84.809998,85.669998,84.647003,85.489998,82.183807,863600
1/6/21,85.089996,86.720001,84.900002,85.940002,82.616409,669800
1/7/21,86.559998,87.449997,86.519997,87.300003,83.923828,556400
1/8/21,87.760002,87.879997,86.860001,87.860001,84.462158,606500
1/11/21,87.190002,87.730003,87.019997,87.300003,83.923828,550900
1/12/21,87.389999,87.580002,86.830002,87.400002,84.019951,653300
1/13/21,87.489998,87.889999,87.209999,87.620003,84.231438,1165300
1/14/21,87.739998,87.940002,87.220001,87.339996,83.962273,14440700
1/15/21,87.110001,87.168999,86.260002,86.650002,83.298958,2184900
1/19/21,87.190002,87.529999,86.950996,87.389999,84.010345,2508200
1/20/21,87.900002,88.82,87.900002,88.620003,85.192764,1319100
1/21/21,88.839996,89,88.459999,88.699997,85.269669,1153800
1/22/21,88.349998,88.669998,88.139999,88.440002,85.019737,835200
1/25/21,88.730003,88.93,87.449997,88.760002,85.327347,1014400
1/26/21,88.910004,89.110001,88.519997,88.610001,85.183174,782800
1/27/21,87.769997,87.769997,85.879997,86.370003,83.029793,831000
1/28/21,86.830002,88.219002,86.809998,87.209999,83.837296,704300
1/29/21,86.834999,86.989998,85.084999,85.57,82.260727,836300
2/1/21,86.489998,87.239998,85.870003,86.940002,83.577736,1073300
2/2/21,87.82,88.595001,87.809998,88.220001,84.808258,713000
2/3/21,88.489998,88.699997,88.019997,88.300003,84.885147,1351000
2/4/21,88.650002,89.32,88.519997,89.32,85.865692,1412000
2/5/21,89.660004,89.860001,89.392998,89.720001,86.250214,1008400
